category,topic,keyword,pin_url
Discover,marvel,Loki,"https://www.pinterest.com/pin/3659243434913387/
https://www.pinterest.com/pin/6685099438166838/
https://www.pinterest.com/pin/283375001548757029/
https://www.pinterest.com/pin/684547212113847545/"
,,Captain marvel,"https://www.pinterest.com/pin/17592254786843971/
https://www.pinterest.com/pin/1152499360866645137/
https://www.pinterest.com/pin/791859546999377028/
https://www.pinterest.com/pin/60587557479543657/"
,,Hulk,"https://www.pinterest.com/pin/2674081021373416/
https://www.pinterest.com/pin/792422496945021047/"
,,Iron man,"https://www.pinterest.com/pin/65161525850225542/
https://www.pinterest.com/pin/15199717482176330/,
https://www.pinterest.com/pin/2674081020033185/"
,,Thor,"https://www.pinterest.com/pin/187251296997502629/,"
,,Captain america,https://www.pinterest.com/pin/755619643743261629/
,,Black widow,https://www.pinterest.com/pin/648870258826075164/
,,Hawkeyes,https://www.pinterest.com/pin/975099756793858407/
,,Wanda ,"https://www.pinterest.com/pin/889812838856318049/, https://www.pinterest.com/pin/812196114065641439/, "
,,Doctor strange,"https://www.pinterest.com/pin/869194796805803052/
https://www.pinterest.com/pin/362187995043874767/"
Discover,Harry potter,Harry James Potter,"https://www.pinterest.com/pin/412149803373152374/ , https://www.pinterest.com/pin/608337862169544700/, https://www.pinterest.com/pin/19421842132722663/"
,,Ron Weasley,"https://www.pinterest.com/pin/766808274051695375/, https://www.pinterest.com/pin/2955555980764862/, https://www.pinterest.com/pin/760193612116877030/"
,Kpop,Lisa,"https://www.pinterest.com/pin/716424253228071711/ , 
https://www.pinterest.com/pin/2744449761086128/ , 
https://www.pinterest.com/pin/703756179288704/ ,"
,,Park Jimin,"https://www.pinterest.com/pin/642537071849093963/, 
https://www.pinterest.com/pin/535295105719528491/, "
,,Jungkook,"https://www.pinterest.com/pin/658862620487698601/ ,
https://www.pinterest.com/pin/743938432212602395/, "
,,Rose,"https://www.pinterest.com/pin/691935930262741010/,

https://www.pinterest.com/pin/600104719108159689/,
 
"
,,Sana,"https://www.pinterest.com/pin/594404850824323682/, https://www.pinterest.com/pin/369224869461700465/"
,,Jisoo,"https://www.pinterest.com/pin/681239881146938058/, 
https://www.pinterest.com/pin/301881981285686178, 
https://www.pinterest.com/pin/196751077462690326/, "
,Actor,Lee min ho,"https://www.pinterest.com/pin/351280839694241187/, 
https://www.pinterest.com/pin/20477373294669086/, "
,,Kim so huyn ,"https://www.pinterest.com/pin/337347828337494140/
https://www.pinterest.com/pin/259308891035202996/"
